state_name,active,recovered,death,new_active,new_cured,new_death,new_positive,confirmed,Date,st_name,dose1,dose2,total_doses,last_dose1,last_dose2,last_total_doses,date
Andaman and Nicobar Islands,147.0,4820.0,62.0,152.0,3469.0,52.0,3673.0,4941.0,2021-01-01 17:39:44,,,,,,,,
Andhra Pradesh,78836.0,871588.0,7104.0,74518.0,551821.0,5410.0,631749.0,881948.0,2021-01-01 17:39:44,,,,,,,,
Arunachal Pradesh,1964.0,16549.0,56.0,1939.0,5643.0,13.0,7595.0,16711.0,2021-01-01 17:39:44,,,,,,,,
Assam,28780.0,211838.0,1043.0,29609.0,129133.0,578.0,159320.0,216139.0,2021-01-01 17:39:44,,,,,,,,
Bihar,13005.0,245156.0,1393.0,12539.0,156242.0,870.0,169651.0,251348.0,2021-01-01 17:39:44,,,,,,,,
Chandigarh,2821.0,18967.0,316.0,2761.0,7411.0,126.0,10298.0,19682.0,2021-01-01 17:39:44,,,,,,,,
Chhattisgarh,37853.0,263251.0,3350.0,37927.0,49564.0,690.0,88181.0,278540.0,2021-01-01 17:39:44,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu,229.0,3364.0,2.0,220.0,2711.0,2.0,2933.0,3375.0,2021-01-01 17:39:44,,,,,,,,
Delhi,32097.0,608434.0,10523.0,30941.0,213304.0,5014.0,249259.0,624795.0,2021-01-01 17:39:44,,,,,,,,
Goa,5781.0,49313.0,737.0,5667.0,22726.0,360.0,28753.0,50981.0,2021-01-01 17:39:44,,,,,,,,
Gujarat,16208.0,229977.0,4302.0,16305.0,104964.0,3336.0,124605.0,244258.0,2021-01-01 17:39:44,,,,,,,,
Haryana,21411.0,255356.0,2899.0,21014.0,90884.0,1177.0,113075.0,262054.0,2021-01-01 17:39:44,,,,,,,,
Himachal Pradesh,4444.0,51387.0,931.0,4458.0,7853.0,127.0,12438.0,55114.0,2021-01-01 17:39:44,,,,,,,,
Jammu and Kashmir,22032.0,115830.0,1880.0,21887.0,42115.0,1024.0,65026.0,120744.0,2021-01-01 17:39:44,,,,,,,,
Jharkhand,13791.0,112206.0,1027.0,13504.0,58543.0,626.0,72673.0,114873.0,2021-01-01 17:39:44,,,,,,,,
Karnataka,98062.0,894834.0,12081.0,95354.0,423377.0,8145.0,526876.0,918544.0,2021-01-01 17:39:44,,,,,,,,
Kerala,39484.0,687104.0,3042.0,39354.0,98724.0,553.0,138631.0,755718.0,2021-01-01 17:39:44,,,,,,,,
Ladakh,1013.0,9132.0,127.0,1047.0,2735.0,50.0,3832.0,9447.0,2021-01-01 17:39:44,,,,,,,,
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01 17:39:44,,,,,,,,
Madhya Pradesh,22300.0,227965.0,3595.0,22542.0,83618.0,2007.0,108167.0,240947.0,2021-01-01 17:39:44,,,,,,,,
Maharashtra,291630.0,1824934.0,49463.0,275017.0,916348.0,33015.0,1224380.0,1928603.0,2021-01-01 17:39:44,,,,,,,,
Manipur,2070.0,26601.0,354.0,2113.0,6838.0,59.0,9010.0,28137.0,2021-01-01 17:39:44,,,,,,,,
Meghalaya,2111.0,13085.0,139.0,2169.0,2527.0,37.0,4733.0,13408.0,2021-01-01 17:39:44,,,,,,,,
Mizoram,583.0,4091.0,8.0,680.0,1012.0,0.0,1692.0,4204.0,2021-01-01 17:39:44,,,,,,,,
Nagaland,1184.0,11624.0,79.0,1052.0,4477.0,15.0,5544.0,11921.0,2021-01-01 17:39:44,,,,,,,,
Odisha,33504.0,325103.0,1871.0,34033.0,149379.0,710.0,184122.0,329306.0,2021-01-01 17:39:44,,,,,,,,
Puducherry,4908.0,37100.0,633.0,4659.0,18065.0,467.0,23191.0,38096.0,2021-01-01 17:39:44,,,,,,,,
Punjab,22278.0,157043.0,5331.0,21661.0,75409.0,2860.0,99930.0,166239.0,2021-01-01 17:39:44,,,,,,,,
Rajasthan,18184.0,295030.0,2689.0,18245.0,97284.0,1352.0,116881.0,307554.0,2021-01-01 17:39:44,,,,,,,,
Sikkim,469.0,5218.0,127.0,513.0,1986.0,29.0,2528.0,5877.0,2021-01-01 17:39:44,,,,,,,,
Tamil Nadu,46703.0,796353.0,12109.0,46495.0,491971.0,8871.0,547337.0,817077.0,2021-01-01 17:39:44,,,,,,,,
Telengana,29636.0,278839.0,1541.0,29649.0,144073.0,1052.0,174774.0,286354.0,2021-01-01 17:39:44,,,,,,,,
Tripura,6566.0,32751.0,385.0,6700.0,15883.0,251.0,22834.0,33264.0,2021-01-01 17:39:44,,,,,,,,
Uttarakhand,12455.0,562459.0,8352.0,12075.0,29201.0,501.0,41777.0,584966.0,2021-01-01 17:39:44,,,,,,,,
Uttar Pradesh,65954.0,84149.0,1504.0,64164.0,289594.0,5135.0,358893.0,90616.0,2021-01-01 17:39:44,,,,,,,,
West Bengal,24806.0,528829.0,9683.0,24898.0,198983.0,4421.0,228302.0,550893.0,2021-01-01 17:39:44,,,,,,,,
Andaman and Nicobar Islands,54.0,4830.0,62.0,48.0,4837.0,62.0,4947.0,4946.0,2021-01-03 20:00:03.072053,,,,,,,,
Andhra Pradesh,3238.0,872266.0,7108.0,3194.0,872545.0,7111.0,882850.0,882612.0,2021-01-03 20:00:03.072053,,,,,,,,
Arunachal Pradesh,97.0,16566.0,56.0,95.0,16576.0,56.0,16727.0,16719.0,2021-01-03 20:00:03.072053,,,,,,,,
Assam,3210.0,211992.0,1049.0,3166.0,212072.0,1051.0,216289.0,216251.0,2021-01-03 20:00:03.072053,,,,,,,,
Bihar,4945.0,245874.0,1400.0,4792.0,246389.0,1403.0,252584.0,252219.0,2021-01-03 20:00:03.072053,,,,,,,,
Chandigarh,372.0,19109.0,318.0,320.0,19226.0,319.0,19865.0,19799.0,2021-01-03 20:00:03.072053,,,,,,,,
Chhattisgarh,11344.0,265788.0,3375.0,10517.0,267751.0,3386.0,281654.0,280507.0,2021-01-03 20:00:03.072053,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu,11.0,3365.0,2.0,11.0,3365.0,2.0,3378.0,3378.0,2021-01-03 20:00:03.072053,,,,,,,,
Delhi,5358.0,610039.0,10557.0,5342.0,610535.0,10571.0,626448.0,625954.0,2021-01-03 20:00:03.072053,,,,,,,,
Goa,930.0,49466.0,739.0,921.0,49570.0,739.0,51230.0,51135.0,2021-01-03 20:00:03.072053,,,,,,,,
Gujarat,9663.0,231800.0,4309.0,9477.0,232722.0,4314.0,246513.0,245772.0,2021-01-03 20:00:03.072053,,,,,,,,
Haryana,3314.0,256386.0,2911.0,3124.0,256811.0,2915.0,262850.0,262611.0,2021-01-03 20:00:03.072053,,,,,,,,
Himachal Pradesh,2394.0,52140.0,936.0,2202.0,52479.0,938.0,55619.0,55470.0,2021-01-03 20:00:03.072053,,,,,,,,
Jammu and Kashmir,3016.0,116327.0,1884.0,2999.0,116587.0,1885.0,121471.0,121227.0,2021-01-03 20:00:03.072053,,,,,,,,
Jharkhand,1682.0,112529.0,1030.0,1624.0,112734.0,1034.0,115392.0,115241.0,2021-01-03 20:00:03.072053,,,,,,,,
Karnataka,11077.0,897200.0,12096.0,10853.0,898176.0,12099.0,921128.0,920373.0,2021-01-03 20:00:03.072053,,,,,,,,
Kerala,65238.0,697591.0,3095.0,65560.0,702576.0,3116.0,771252.0,765924.0,2021-01-03 20:00:03.072053,,,,,,,,
Ladakh,245.0,9153.0,127.0,260.0,9163.0,127.0,9550.0,9525.0,2021-01-03 20:00:03.072053,,,,,,,,
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-03 20:00:03.072053,,,,,,,,
Madhya Pradesh,9222.0,229731.0,3618.0,9089.0,230586.0,3627.0,243302.0,242571.0,2021-01-03 20:00:03.072053,,,,,,,,
Maharashtra,53231.0,1832825.0,49580.0,54288.0,1834935.0,49631.0,1938854.0,1935636.0,2021-01-03 20:00:03.072053,,,,,,,,
Manipur,1108.0,26742.0,356.0,1104.0,26782.0,357.0,28243.0,28206.0,2021-01-03 20:00:03.072053,,,,,,,,
Meghalaya,164.0,13142.0,139.0,136.0,13173.0,139.0,13448.0,13445.0,2021-01-03 20:00:03.072053,,,,,,,,
Mizoram,111.0,4100.0,8.0,104.0,4111.0,8.0,4223.0,4219.0,2021-01-03 20:00:03.072053,,,,,,,,
Nagaland,191.0,11659.0,79.0,186.0,11664.0,79.0,11929.0,11929.0,2021-01-03 20:00:03.072053,,,,,,,,
Odisha,2257.0,325733.0,1876.0,2272.0,325965.0,1880.0,330117.0,329866.0,2021-01-03 20:00:03.072053,,,,,,,,
Puducherry,366.0,37165.0,633.0,346.0,37195.0,633.0,38174.0,38164.0,2021-01-03 20:00:03.072053,,,,,,,,
Punjab,3517.0,157904.0,5349.0,3429.0,158219.0,5364.0,167012.0,166770.0,2021-01-03 20:00:03.072053,,,,,,,,
Rajasthan,9223.0,296929.0,2700.0,8795.0,297819.0,2705.0,309319.0,308852.0,2021-01-03 20:00:03.072053,,,,,,,,
Sikkim,534.0,5238.0,128.0,530.0,5252.0,129.0,5911.0,5900.0,2021-01-03 20:00:03.072053,,,,,,,,
Tamil Nadu,8380.0,798420.0,12135.0,8272.0,799427.0,12146.0,819845.0,818935.0,2021-01-03 20:00:03.072053,,,,,,,,
Telengana,5571.0,279991.0,1546.0,5388.0,280565.0,1549.0,287502.0,287108.0,2021-01-03 20:00:03.072053,,,,,,,,
Tripura,96.0,32795.0,385.0,88.0,32809.0,385.0,33282.0,33276.0,2021-01-03 20:00:03.072053,,,,,,,,
Uttarakhand,4577.0,85189.0,1515.0,4364.0,85658.0,1522.0,91544.0,91281.0,2021-01-03 20:00:03.072053,,,,,,,,
Uttar Pradesh,13831.0,564541.0,8379.0,13316.0,565731.0,8387.0,587434.0,586751.0,2021-01-03 20:00:03.072053,,,,,,,,
West Bengal,11616.0,531862.0,9738.0,11008.0,533305.0,9766.0,554079.0,553216.0,2021-01-03 20:00:03.072053,,,,,,,,
Andaman and Nicobar Islands,48.0,4837.0,62.0,40.0,4846.0,62.0,4948.0,4947.0,2021-01-04 20:07:09.142390,,,,,,,,
Andhra Pradesh,3194.0,872545.0,7111.0,3070.0,872897.0,7115.0,883082.0,882850.0,2021-01-04 20:07:09.142390,,,,,,,,
Arunachal Pradesh,95.0,16576.0,56.0,93.0,16583.0,56.0,16732.0,16727.0,2021-01-04 20:07:09.142390,,,,,,,,
