st_name,dose1,dose2,total_doses,last_dose1,last_dose2,last_total_doses,date
Andaman and Nicobar,6581,2556,9137,,,,2021-03-01
Andhra Pradesh,541202,142431,683633,,,,2021-03-01
Arunachal Pradesh,27572,7309,34881,,,,2021-03-01
Assam,201640,29159,230799,,,,2021-03-01
Bihar,562270,81079,643349,,,,2021-03-01
Chandigarh,22424,1899,24323,,,,2021-03-01
Chhattisgarh,386030,57807,443837,,,,2021-03-01
Dadra and Nagar Haveli and Daman and Diu,7434,821,8255,,,,2021-03-01
Delhi,385341,40139,425480,,,,2021-03-01
Goa,20622,2321,22943,,,,2021-03-01
Gujarat,889167,180941,1070108,,,,2021-03-01
Haryana,225281,74391,299672,,,,2021-03-01
Himachal Pradesh,102373,25720,128093,,,,2021-03-01
Jammu and Kashmir,251276,17280,268556,,,,2021-03-01
Jharkhand,288240,28056,316296,,,,2021-03-01
Karnataka,608840,214820,823660,,,,2021-03-01
Kerala,511510,113613,625123,,,,2021-03-01
Ladakh,9226,829,10055,,,,2021-03-01
Lakshadweep,2410,802,3212,,,,2021-03-01
Madhya Pradesh,671302,183795,855097,,,,2021-03-01
Maharashtra,1063187,173817,1237004,,,,2021-03-01
Manipur,53805,2653,56458,,,,2021-03-01
Meghalaya,31202,1920,33122,,,,2021-03-01
Mizoram,22819,6694,29513,,,,2021-03-01
Nagaland,30251,5579,35830,,,,2021-03-01
Odisha,475608,165127,640735,,,,2021-03-01
Puducherry,10292,1474,11766,,,,2021-03-01
Punjab,161361,38683,200044,,,,2021-03-01
Rajasthan,863992,245561,1109553,,,,2021-03-01
Sikkim,17516,1882,19398,,,,2021-03-01
Tamil Nadu,414032,66379,480411,,,,2021-03-01
Telangana,294255,130019,424274,,,,2021-03-01
Tripura,90990,22780,113770,,,,2021-03-01
Uttar Pradesh,1178302,310119,1488421,,,,2021-03-01
Uttarakhand,143835,21677,165512,,,,2021-03-01
West Bengal,975574,148584,1124158,,,,2021-03-01
Miscellaneous,708575,49083,757658,,,,2021-03-01
Andaman and Nicobar,6912,2589,9501,6581,2556,9137,2021-03-02
Andhra Pradesh,554530,144834,699364,541202,142431,683633,2021-03-02
Arunachal Pradesh,29580,7451,37031,27572,7309,34881,2021-03-02
Assam,220573,30730,251303,201640,29159,230799,2021-03-02
Bihar,569040,91556,660596,562270,81079,643349,2021-03-02
Chandigarh,22299,1966,24265,22424,1899,24323,2021-03-02
Chhattisgarh,398574,61489,460063,386030,57807,443837,2021-03-02
Dadra and Nagar Haveli and Daman and Diu,8052,901,8953,7434,821,8255,2021-03-02
Delhi,402942,43815,446757,385341,40139,425480,2021-03-02
Goa,23200,3208,26408,20622,2321,22943,2021-03-02
Gujarat,979651,191852,1171503,889167,180941,1070108,2021-03-02
Haryana,231579,76796,308375,225281,74391,299672,2021-03-02
Himachal Pradesh,104268,29736,134004,102373,25720,128093,2021-03-02
Jammu and Kashmir,262045,18096,280141,251276,17280,268556,2021-03-02
Jharkhand,295125,32454,327579,288240,28056,316296,2021-03-02
Karnataka,619620,216730,836350,608840,214820,823660,2021-03-02
Kerala,541951,120762,662713,511510,113613,625123,2021-03-02
Ladakh,9226,829,10055,9226,829,10055,2021-03-02
Lakshadweep,2413,803,3216,2410,802,3212,2021-03-02
Madhya Pradesh,671302,183795,855097,671302,183795,855097,2021-03-02
